абажур|колпак для лампы, светильника
аберрация|отклонение от чего-нибудь
абзац|красная строка, отступ в начале строки
абонемент|документ, предоставляющий право на пользование чем-нибудь, какое-нибудь обслуживание
абонент|лицо, пользующееся абонементом, имеющее право на пользование чем-нибудь по абоне менту
абориген|коренной житель страны, местности
аборт|преждевременное прерывание беременности, самопроизвольное или искусственное, выкидыш
абразив|твердое мелкозернистое или порошкообразное вещество (кремень наждак, корунд, карборунд, пемза, гранат) применяемое для шлифовки, полировки, заточки
абрек|В период присоединения Кавказа к России:горец, участвовавший в борьбе против царских войск и администрации
абрикос|южное фруктовое дерево семейства розоцветных, дающее сочные плоды с крупной косточкой
абсолют|В идеалистической философии:вечная, неизменная первооснова всего существующего (дух, идея, божество)
абсурд|нелепость, бесмыслица
абсцесс|нарыв, гнойник, скопление гноя в органах или тканях в результате воспалительного процесса
авангард|передовая, ведущая часть какой-нибудь общественной группы, класса
аванс|деньги (или другие ценности), выдаваемые вперед в счет заработка, причитаю щихся кому-нибудь платежей
авансцена|передняя часть сцены
авантюра|рискованное и сомнительное дело, предпринятое в расчете на случайный успех
авария|повреждение, выход из строя какого-нибудь механизма, машины, устройства во время ра боты, движения
август|восьмой месяц календарного года
авиатор|специалист по управлению, вождению и обслуживанию летательных аппаратов
авиация|теория и практика передвижения по воздуху на летательных аппаратах тяжелее воздуха
аврал|спешная (по специальному заданию или по тревоге) работа на судне всей командой
авто|со знач.автоматический
автобаза|автотранспортное предприятие со стоянками для машин и мастерскими для ремонта
автобус|многоместный автомобиль для перевозки пассажиров
автограф|подлинная рукопись автора
автозавод|Сокращение:автомобильный завод
автомат|аппарат (машина, прибор, устройство), после включения самостоятельно выполняющий ряд заданных операций
автономия|право самостоятельного осуществления государственной власти или управления, предоставленное конституцией какой-нибудь части государства, самоуправление
автопилот|устройство для автоматического управления летательным аппаратом
автор|создатель какого-нибудь произведения
авторитет|общепризнанное значение, влияние, общее уважение
авторство|принадлежность произведения автору
авторучка|ручка для письма, в которой чернила из внутреннего резервуара автоматически подаются к перу
агат|твердый слоистый минерал, разновидность халцедона, употребляемый для украшений, мелких изделий и в технике
агент|лицо, уполномоченное учреждением, предприятием для выполнения служебных, деловых поручений
агентура|разведывательная или сыскная служба
агитация|активная деятельность по распространению политических идей средствами массовой информации, устными выступлениями с целью оказать воздействие на широкие массы
агнец|ягненок (обычно как жертвенное животное)
агония|предсмертное состояние организма
агрегат|соединение для общей работы двух или нескольких разнотипных машин
