brave|храбрый, смелый
disarm|обезоруживать, разоружать
plastic|пластмасса, пластичный
holding|удерживание, держащий
pitcher|подающий
surname|фамилия
seaman|моряк
compete|состязаться, конкурировать
cripple|калечить, уродовать
deputy|депутат, делегат
slope|склон, наклон, гора для катания
event|событие
ribbon|лента
jew|Еврей
joke|шутка, шутить
cage|клетка, кабина
mania|мания
heed|внимание, слушать внимательно
jet|струя
brigade|бригада
timber|бревно
asset|имущество
brawl|уличный скандал
marquis|Маркиз
told|рассказал, сообщил
heel|пятка, каблук
answer|ответ, отвечать
sleeve|рукав
regard|взгляд, внимание, смотреть, считать
meet|встречать, знакомиться
armies|Армии
dawn|рассвет, светать
stadium|стадион
quality|качество
pitched|Переданный
cafe|кафе
forbid|запрещать
steady|прочный
tome|Том
tomb|могила, гробница
rev|оборот
horns|Рожки
moral|нравственный
rex|Рекс
vastly|значительно
truck|грузовик
willow|ива
parted|Разделенный
drawing|протаскивание, вытягивание, рисование, чертеж
relief|облегчение, утешение
drip|капать
renamed|Переименованный
meek|кроткий
advised|Рекомендованный
times|раз
chaise|Фаэтон
guard|охрана, стража
lettuce|салат
fudge|глупость, чушь
grew|рос
debts|долги
grey|серый
ropes|Веревки
ignore|игнорировать
pity|жалость
enjoyed|получил удовольствие
tone|стиль, характер
myrtle|Мирт
illegal|нелегальный
crouch|притаиться
suffer|страдать
cutting|сокращение, урезание
join|соединяться
smiles|Улыбки
taking|овладение
labor|Рабочая сила
ports|порты
red|красный
days|дни
legend|легенда
library|библиотека
advice|cовет
zone|зона
britain|Британия
suspend|приостанавливать
fancy|воображать, представлять себе
unions|союзы
basin|бассейн
invader|захватчик
basis|основа, основание
forbes|Форбес
drop|капля, падать, ронять
tool|инструмент
infant|младенец
took|брал
echo|эхо, отголосок
hiking|пеший поход
afar|далеко, вдали
invalid|недействительный
updated|Обновленный
basic|основной
jar|ссора
plaster|пластырь, штукатурка, штукатурить
derived|Полученный
jan|Январь
doubly|вдвое
jam|варенье, джем
motion|движение
guilt|вина, виновность
salvage|спасать
wording|редакция, форма выражения, формулировка
verge|грань, край
unrest|беспокойство
spat|размолвка, звонкий удар
station|станция, место, размещать
pumpkin|тыква
barbed|колючий, ядовитый
leisure|досуг
resist|сопротивляться
double|двойной, на двоих
heir|наследник
timid|робкий, застенчивый
jaw|челюсть
much|много
country|страна
mislead|вводить в заблуждение
toffee|ириска
speech|речь
tremble|дрожать, дрожь
weary|усталый, утомительный, утомлять, устать, потерять терпение
column|графа, отдел
garret|мансарда, чердак
brass|установить
update|Модернизация
raw|сырой
prophet|пророк
grab|внезапно схватывать
ray|луч
connect|соединять
horse|лошадь
wheeled|Колесный
rat|крыса
disturb|нарушать, беспокоить
twin|двойной, двойник, близнец
dime|дайм
knelt|стоял на коленях
twit|упрек, насмешка
stately|величавый, величественный
lament|сетование, жалоба
twig|веточка, прутик
fuel|топливо, горючее
hinder|препятствовать, мешать
gram|грамм
chris|Крис
alike|похожий
spends|проводит
axis|ось
diver|водолаз
cellar|подвал, винный погреб
peach|персик
brittle|хрупкий, ломкий
gray|Серый
biscuit|сухое печенье
torn|оборванный
wicked|злой
dived|Нырнул
hello|привет
dine|обедать
entire|полный, совершенный
wooden|деревянный
which|который
rag|тряпка, лохмотья
flush|краснеть
ran|бежал, убежавший
ram|баран
female|женщина, самка
tore|рвал
royal|королевский
anyone|любой, всякий
peace|мир
brows|Брови
brown|коричневый
exhaust|исчерпывать, истощать, выхлоп
sunrise|восход солнца
lowered|Пониженный
whirl|вихрь
jobs|работы
lower|нижний, снижать, опускать
riddle|загадка
hasty|поспешный, необдуманный
dagger|кинжал
amateur|любитель
rock|скала
rode|ехать
haste|спешка
help|помощь, помогать
village|деревня
zeal|усердие, рвение
bones|кости
rpm|Оборот в минуту
border|граница
purge|чистка
alight|выходить, спускаться
element|элемент, стихия
elect|выбирать e
support|поддерживать, опора, поддержка
rot|вздор, нелепость
ron|Рон
wren|Крапивник
menu|меню
peeves|Обиды
job|работа
resign|уходить в отставку
